country,year,nitrous_oxide,agricultural_land,greenhouse_gas_emissions,irrigated_land,population_growth,urban_population,GDP,forest_area
Brazil,2020,,,,,,,,
Brazil,2019,182050.0,,,,,,,
Brazil,2018,178490.0,,,,,,,
Brazil,2017,183640.0,,,,,,,
Brazil,2016,175480.0,,,,,,,
Brazil,2015,171370.0,,,,,,,
Brazil,2014,174020.0,,,,,,,
Brazil,2013,167210.0,,,,,,,
Brazil,2012,166610.0,,,,,,,
Brazil,2011,165610.0,,,,,,,
Brazil,2010,166180.0,,,,,,,
Brazil,2009,148640.0,,,,,,,
Brazil,2008,152420.0,,,,,,,
Brazil,2007,158620.0,,,,,,,
Brazil,2006,152980.0,,,,,,,
Brazil,2005,155130.0,,,,,,,
Brazil,2004,156220.0,,,,,,,
Brazil,2003,145710.0,,,,,,,
Brazil,2002,140220.0,,,,,,,
Brazil,2001,129860.0,,,,,,,
Brazil,2000,123930.0,,,,,,,
Brazil,1999,124030.0,,,,,,,
Brazil,1998,123650.0,,,,,,,
Brazil,1997,116340.0,,,,,,,
Brazil,1996,113010.0,,,,,,,
Brazil,1995,120050.0,,,,,,,
Brazil,1994,118100.0,,,,,,,
Brazil,1993,114640.0,,,,,,,
Brazil,1992,111860.0,,,,,,,
Brazil,1991,110200.0,,,,,,,
Brazil,1990,106270.0,,,,,,,
China,2020,,,,,,,,
China,2019,552060.0,,,,,,,
China,2018,544840.0,,,,,,,
China,2017,548720.0,,,,,,,
China,2016,552360.0,,,,,,,
China,2015,549330.0,,,,,,,
China,2014,534100.0,,,,,,,
China,2013,522600.0,,,,,,,
China,2012,509380.0,,,,,,,
China,2011,497300.0,,,,,,,
China,2010,488160.0,,,,,,,
China,2009,475730.0,,,,,,,
China,2008,464320.0,,,,,,,
China,2007,449070.0,,,,,,,
China,2006,440230.0,,,,,,,
China,2005,427310.0,,,,,,,
China,2004,416780.0,,,,,,,
China,2003,400790.0,,,,,,,
China,2002,396770.0,,,,,,,
China,2001,377910.0,,,,,,,
China,2000,375420.0,,,,,,,
China,1999,380660.0,,,,,,,
China,1998,364990.0,,,,,,,
China,1997,356010.0,,,,,,,
China,1996,384120.0,,,,,,,
China,1995,358190.0,,,,,,,
China,1994,314550.0,,,,,,,
China,1993,301010.0,,,,,,,
China,1992,309200.0,,,,,,,
China,1991,303320.0,,,,,,,
China,1990,295770.0,,,,,,,
Germany,2020,,,,,,,,
Germany,2019,34120.0,,,,,,,
Germany,2018,33120.0,,,,,,,
Germany,2017,34980.0,,,,,,,
Germany,2016,36070.0,,,,,,,
Germany,2015,36740.0,,,,,,,
Germany,2014,37620.0,,,,,,,
Germany,2013,36730.0,,,,,,,
Germany,2012,36100.0,,,,,,,
Germany,2011,36010.0,,,,,,,
Germany,2010,37560.0,,,,,,,
Germany,2009,44590.0,,,,,,,
Germany,2008,44390.0,,,,,,,
Germany,2007,46710.0,,,,,,,
Germany,2006,43050.0,,,,,,,
Germany,2005,44480.0,,,,,,,
Germany,2004,46230.0,,,,,,,
Germany,2003,44900.0,,,,,,,
Germany,2002,45120.0,,,,,,,
Germany,2001,45320.0,,,,,,,
Germany,2000,43660.0,,,,,,,
Germany,1999,45320.0,,,,,,,
Germany,1998,48790.0,,,,,,,
Germany,1997,61480.0,,,,,,,
Germany,1996,64000.0,,,,,,,
Germany,1995,62780.0,,,,,,,
Germany,1994,64690.0,,,,,,,
Germany,1993,61230.0,,,,,,,
Germany,1992,64290.0,,,,,,,
Germany,1991,64270.0,,,,,,,
Germany,1990,65350.0,,,,,,,
France,2020,,,,,,,,
France,2019,38260.0,,,,,,,
France,2018,38120.0,,,,,,,
France,2017,38620.0,,,,,,,
France,2016,37650.0,,,,,,,
France,2015,39150.0,,,,,,,
France,2014,38530.0,,,,,,,
France,2013,38280.0,,,,,,,
France,2012,37300.0,,,,,,,
France,2011,36730.0,,,,,,,
France,2010,38680.0,,,,,,,
France,2009,39760.0,,,,,,,
France,2008,41960.0,,,,,,,
France,2007,43790.0,,,,,,,
France,2006,42710.0,,,,,,,
France,2005,43510.0,,,,,,,
France,2004,44690.0,,,,,,,
France,2003,47220.0,,,,,,,
France,2002,47360.0,,,,,,,
France,2001,49840.0,,,,,,,
France,2000,49090.0,,,,,,,
France,1999,51220.0,,,,,,,
France,1998,55940.0,,,,,,,
France,1997,63120.0,,,,,,,
France,1996,63760.0,,,,,,,
France,1995,61490.0,,,,,,,
France,1994,60660.0,,,,,,,
France,1993,59890.0,,,,,,,
France,1992,59650.0,,,,,,,
France,1991,61750.0,,,,,,,
France,1990,61290.0,,,,,,,
Japan,2020,,,,,,,,
Japan,2019,18700.0,,,,,,,
Japan,2018,18800.0,,,,,,,
Japan,2017,18880.0,,,,,,,
Japan,2016,18750.0,,,,,,,
Japan,2015,18720.0,,,,,,,
Japan,2014,19260.0,,,,,,,
Japan,2013,19340.0,,,,,,,
Japan,2012,18760.0,,,,,,,
Japan,2011,19300.0,,,,,,,
Japan,2010,20080.0,,,,,,,
Japan,2009,20270.0,,,,,,,
Japan,2008,20620.0,,,,,,,
Japan,2007,20860.0,,,,,,,
Japan,2006,21860.0,,,,,,,
Japan,2005,21970.0,,,,,,,
Japan,2004,22340.0,,,,,,,
Japan,2003,21750.0,,,,,,,
Japan,2002,21650.0,,,,,,,
Japan,2001,21620.0,,,,,,,
Japan,2000,24860.0,,,,,,,
Japan,1999,22230.0,,,,,,,
Japan,1998,28440.0,,,,,,,
Japan,1997,29930.0,,,,,,,
Japan,1996,29430.0,,,,,,,
Japan,1995,28450.0,,,,,,,
Japan,1994,28690.0,,,,,,,
Japan,1993,27210.0,,,,,,,
Japan,1992,27260.0,,,,,,,
Japan,1991,26940.0,,,,,,,
Japan,1990,27620.0,,,,,,,
Sri Lanka,2020,,,,,,,,
Sri Lanka,2019,2450.0,,,,,,,
Sri Lanka,2018,2240.0,,,,,,,
Sri Lanka,2017,2370.0,,,,,,,
Sri Lanka,2016,2530.0,,,,,,,
Sri Lanka,2015,3220.0,,,,,,,
Sri Lanka,2014,3120.0,,,,,,,
Sri Lanka,2013,2590.0,,,,,,,
Sri Lanka,2012,2830.0,,,,,,,
Sri Lanka,2011,3040.0,,,,,,,
Sri Lanka,2010,2760.0,,,,,,,
Sri Lanka,2009,2780.0,,,,,,,
Sri Lanka,2008,2950.0,,,,,,,
Sri Lanka,2007,2610.0,,,,,,,
Sri Lanka,2006,2700.0,,,,,,,
Sri Lanka,2005,2750.0,,,,,,,
Sri Lanka,2004,2550.0,,,,,,,
Sri Lanka,2003,2470.0,,,,,,,
Sri Lanka,2002,2660.0,,,,,,,
Sri Lanka,2001,2440.0,,,,,,,
Sri Lanka,2000,2450.0,,,,,,,
Sri Lanka,1999,2490.0,,,,,,,
Sri Lanka,1998,2300.0,,,,,,,
Sri Lanka,1997,2320.0,,,,,,,
Sri Lanka,1996,2290.0,,,,,,,
Sri Lanka,1995,2330.0,,,,,,,
Sri Lanka,1994,2370.0,,,,,,,
Sri Lanka,1993,2310.0,,,,,,,
Sri Lanka,1992,2210.0,,,,,,,
Sri Lanka,1991,2120.0,,,,,,,
Sri Lanka,1990,2180.0,,,,,,,
Mexico,2020,,,,,,,,
Mexico,2019,44150.0,,,,,,,
Mexico,2018,43120.0,,,,,,,
Mexico,2017,43880.0,,,,,,,
Mexico,2016,43600.0,,,,,,,
Mexico,2015,39360.0,,,,,,,
Mexico,2014,39320.0,,,,,,,
Mexico,2013,44080.0,,,,,,,
Mexico,2012,41910.0,,,,,,,
Mexico,2011,40370.0,,,,,,,
Mexico,2010,39620.0,,,,,,,
Mexico,2009,39020.0,,,,,,,
Mexico,2008,38460.0,,,,,,,
Mexico,2007,39280.0,,,,,,,
Mexico,2006,38260.0,,,,,,,
Mexico,2005,38930.0,,,,,,,
Mexico,2004,36700.0,,,,,,,
Mexico,2003,36650.0,,,,,,,
Mexico,2002,35980.0,,,,,,,
Mexico,2001,38610.0,,,,,,,
Mexico,2000,38140.0,,,,,,,
Mexico,1999,37930.0,,,,,,,
Mexico,1998,38740.0,,,,,,,
Mexico,1997,37460.0,,,,,,,
Mexico,1996,37500.0,,,,,,,
Mexico,1995,36710.0,,,,,,,
Mexico,1994,37530.0,,,,,,,
Mexico,1993,37300.0,,,,,,,
Mexico,1992,36780.0,,,,,,,
Mexico,1991,36740.0,,,,,,,
Mexico,1990,37770.0,,,,,,,
Netherlands,2020,,,,,,,,
Netherlands,2019,8120.0,,,,,,,
Netherlands,2018,7960.0,,,,,,,
Netherlands,2017,8400.0,,,,,,,
Netherlands,2016,8600.0,,,,,,,
Netherlands,2015,8830.0,,,,,,,
Netherlands,2014,8500.0,,,,,,,
Netherlands,2013,8200.0,,,,,,,
Netherlands,2012,8290.0,,,,,,,
Netherlands,2011,8210.0,,,,,,,
Netherlands,2010,8350.0,,,,,,,
Netherlands,2009,8560.0,,,,,,,
Netherlands,2008,8620.0,,,,,,,
Netherlands,2007,12120.0,,,,,,,
Netherlands,2006,13540.0,,,,,,,
Netherlands,2005,13590.0,,,,,,,
Netherlands,2004,13630.0,,,,,,,
Netherlands,2003,12990.0,,,,,,,
Netherlands,2002,13140.0,,,,,,,
Netherlands,2001,13680.0,,,,,,,
Netherlands,2000,14320.0,,,,,,,
Netherlands,1999,14780.0,,,,,,,
Netherlands,1998,15020.0,,,,,,,
Netherlands,1997,15340.0,,,,,,,
Netherlands,1996,15590.0,,,,,,,
Netherlands,1995,15650.0,,,,,,,
Netherlands,1994,16040.0,,,,,,,
Netherlands,1993,16350.0,,,,,,,
Netherlands,1992,15990.0,,,,,,,
Netherlands,1991,15930.0,,,,,,,
Netherlands,1990,15800.0,,,,,,,
Pakistan,2020,,,,,,,,
Pakistan,2019,66670.0,,,,,,,
Pakistan,2018,65740.0,,,,,,,
Pakistan,2017,64620.0,,,,,,,
Pakistan,2016,60970.0,,,,,,,
Pakistan,2015,58250.0,,,,,,,
Pakistan,2014,57070.0,,,,,,,
Pakistan,2013,56510.0,,,,,,,
Pakistan,2012,53140.0,,,,,,,
Pakistan,2011,54510.0,,,,,,,
Pakistan,2010,53510.0,,,,,,,
Pakistan,2009,54370.0,,,,,,,
Pakistan,2008,50100.0,,,,,,,
Pakistan,2007,48040.0,,,,,,,
Pakistan,2006,47940.0,,,,,,,
Pakistan,2005,46380.0,,,,,,,
Pakistan,2004,44080.0,,,,,,,
Pakistan,2003,42690.0,,,,,,,
Pakistan,2002,41520.0,,,,,,,
Pakistan,2001,40340.0,,,,,,,
Pakistan,2000,39910.0,,,,,,,
Pakistan,1999,38990.0,,,,,,,
Pakistan,1998,37640.0,,,,,,,
Pakistan,1997,37140.0,,,,,,,
Pakistan,1996,36000.0,,,,,,,
Pakistan,1995,35810.0,,,,,,,
Pakistan,1994,33470.0,,,,,,,
Pakistan,1993,30560.0,,,,,,,
Pakistan,1992,29740.0,,,,,,,
Pakistan,1991,28110.0,,,,,,,
Pakistan,1990,27740.0,,,,,,,
Russian Federation,2020,,,,,,,,
Russian Federation,2019,61740.0,,,,,,,
Russian Federation,2018,60930.0,,,,,,,
Russian Federation,2017,60310.0,,,,,,,
Russian Federation,2016,59570.0,,,,,,,
Russian Federation,2015,57100.0,,,,,,,
Russian Federation,2014,57350.0,,,,,,,
Russian Federation,2013,55230.0,,,,,,,
Russian Federation,2012,54920.0,,,,,,,
Russian Federation,2011,56050.0,,,,,,,
Russian Federation,2010,53340.0,,,,,,,
Russian Federation,2009,54980.0,,,,,,,
Russian Federation,2008,56580.0,,,,,,,
Russian Federation,2007,51980.0,,,,,,,
Russian Federation,2006,50940.0,,,,,,,
Russian Federation,2005,50750.0,,,,,,,
Russian Federation,2004,50790.0,,,,,,,
Russian Federation,2003,55000.0,,,,,,,
Russian Federation,2002,54270.0,,,,,,,
Russian Federation,2001,54340.0,,,,,,,
Russian Federation,2000,51670.0,,,,,,,
Russian Federation,1999,50370.0,,,,,,,
Russian Federation,1998,52380.0,,,,,,,
Russian Federation,1997,56720.0,,,,,,,
Russian Federation,1996,61060.0,,,,,,,
Russian Federation,1995,64560.0,,,,,,,
Russian Federation,1994,69730.0,,,,,,,
Russian Federation,1993,83090.0,,,,,,,
Russian Federation,1992,91050.0,,,,,,,
Russian Federation,1991,99750.0,,,,,,,
Russian Federation,1990,105590.0,,,,,,,
Turkiye,2020,,,,,,,,
Turkiye,2019,34730.0,,,,,,,
